,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
11743,14DTV0526B,MATUTINO,JOSE MA MORELOS Y PAVON,VICENTE GUERRERO 7,22,EL LOPEO (GUAJAZO),0,18,LA BARCA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,2,1,3,4,2,6,2,3,5,0,0,0,0,0,0,0,0,0,8,6,14,1,3,0,0,0,0,0,1,0,1
11744,14DTV0527A,MATUTINO,LAZARO CARDENAS DEL RIO,CONOCIDO,30,LABOR DE ABALSA,0,46,JALOSTOTITLAN,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,8,4,12,6,11,17,7,5,12,0,0,0,0,0,0,0,0,0,21,20,41,3,3,0,0,0,0,0,1,0,3
11745,14DTV0528Z,MATUTINO,NIOS HEROES DE 1847,CONOCIDO,416,SAN JOSE (SAN JOSE DE LA CALERA),0,35,ENCARNACION DE DIAZ,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,6,3,9,0,5,5,3,2,5,0,0,0,0,0,0,0,0,0,9,10,19,2,3,0,0,0,0,0,1,0,2
11746,14DTV0529Z,MATUTINO,DIEGO RIVERA,CONOCIDO,44,LOS CERRITOS,0,84,TALPA DE ALLENDE,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,4,2,6,0,2,2,2,1,3,0,0,0,0,0,0,0,0,0,6,5,11,3,3,0,0,0,0,0,1,0,3
11747,14DTV0531N,MATUTINO,LAZARO CARDENAS DEL RIO,CONOCIDO,3,AGUA HEDIONDA,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,3,4,7,3,5,8,2,5,7,0,0,0,0,0,0,0,0,0,8,14,22,2,3,0,0,0,0,0,1,0,2
11748,14DTV0532M,MATUTINO,JUAN ESCUTIA,CONOCIDO,81,LAS PILAS,0,43,LA HUERTA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,5,1,6,5,3,8,1,1,2,0,0,0,0,0,0,0,0,0,11,5,16,2,3,0,0,0,0,0,1,0,2
11749,14DTV0533L,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,MANUEL SANCHEZ 16,3,AGOSTADERO,0,11,ATENGO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,5,0,5,1,6,7,6,2,8,0,0,0,0,0,0,0,0,0,12,8,20,3,3,0,0,0,0,0,1,0,3
11750,14DTV0534K,MATUTINO,5 DE MAYO,CONOCIDO,140,SAN PEDRO ANALCO,0,94,TEQUILA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,3,5,8,5,5,10,4,7,11,0,0,0,0,0,0,0,0,0,12,17,29,2,3,0,0,0,0,0,1,0,2
11751,14DTV0535J,MATUTINO,CUAUHTEMOC,MORELOS 15,7,CHAPULIMITA (CHAPULI),0,3,AHUALULCO DE MERCADO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,2,3,5,1,6,7,1,4,5,0,0,0,0,0,0,0,0,0,4,13,17,2,3,0,0,0,0,0,1,0,2
11752,14DTV0536I,MATUTINO,MARCELINO GARCIA BARRAGAN,CONOCIDO,53,SAN JOSE DEL RINCON (SAN JOSE DE LAS BURRAS),0,113,SAN GABRIEL,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,6,2,8,7,3,10,2,6,8,0,0,0,0,0,0,0,0,0,15,11,26,2,3,0,0,0,0,0,1,0,2
